Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsSinceLastPromotion
52,Yes,Travel_Rarely,Research & Development,8,Master,Medical,433,High,Male,Medium,2,Research Scientist,Medium,Married,4941,Excellent,Low,11,Good,7
27,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,434,High,Female,High,1,Research Scientist,Medium,Single,2478,Excellent,Medium,4,Good,1
32,No,Travel_Rarely,Sales,8,College,Technical Degree,436,High,Female,Medium,2,Sales Executive,Medium,Married,5228,Excellent,Very High,13,Better,11
27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,437,Very High,Male,High,2,Sales Executive,High,Single,4478,Excellent,Low,5,Better,0
31,No,Travel_Rarely,Sales,7,Bachelor,Marketing,438,Very High,Male,High,2,Sales Executive,Very High,Divorced,7547,Excellent,Very High,13,Better,1
32,No,Travel_Rarely,Research & Development,2,Master,Medical,439,Low,Female,Very High,2,Research Scientist,Very High,Single,5055,Excellent,High,10,Good,0
28,Yes,Travel_Rarely,Research & Development,2,Master,Medical,440,Low,Male,Low,1,Research Scientist,Very High,Married,3464,Excellent,Very High,5,Good,2
30,No,Travel_Rarely,Research & Development,28,College,Medical,441,Very High,Female,High,2,Research Scientist,Very High,Married,5775,Excellent,Very High,11,Better,1
31,No,Travel_Frequently,Research & Development,7,College,Life Sciences,442,High,Female,Medium,3,Manufacturing Director,High,Married,8943,Outstanding,Low,10,Better,8
39,No,Travel_Frequently,Research & Development,7,College,Medical,444,High,Male,Medium,5,Manager,Very High,Married,19272,Excellent,Low,21,Better,13
39,Yes,Travel_Rarely,Sales,3,College,Medical,445,Very High,Female,High,2,Sales Executive,High,Married,5238,Excellent,Low,12,Good,0
33,No,Travel_Frequently,Sales,10,Bachelor,Marketing,446,Medium,Male,Medium,2,Sales Executive,Very High,Single,4682,Excellent,High,9,Good,0
47,No,Travel_Rarely,Research & Development,5,Doctor,Life Sciences,447,Very High,Male,High,5,Research Director,High,Married,18300,Excellent,Medium,21,Better,1
43,No,Travel_Frequently,Research & Development,10,Master,Life Sciences,448,High,Female,Medium,2,Laboratory Technician,High,Divorced,5257,Excellent,Medium,9,Best,0
27,No,Non-Travel,Sales,1,Below College,Marketing,449,High,Male,High,2,Sales Executive,Medium,Married,6349,Excellent,Very High,6,Better,1
54,No,Travel_Frequently,Research & Development,20,Master,Life Sciences,450,Very High,Female,High,2,Research Scientist,High,Single,4869,Excellent,Very High,20,Good,0
43,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,451,High,Female,High,3,Healthcare Representative,Low,Married,9985,Excellent,Low,10,Good,0
45,No,Travel_Rarely,Research & Development,8,Master,Other,452,Very High,Male,High,2,Research Scientist,Very High,Married,3697,Excellent,Low,12,Better,9
40,No,Travel_Rarely,Sales,1,College,Medical,453,Medium,Male,Low,2,Sales Executive,Very High,Married,7457,Outstanding,High,6,Good,0
29,Yes,Travel_Rarely,Research & Development,8,Master,Other,454,Medium,Male,Low,1,Laboratory Technician,Low,Married,2119,Excellent,Very High,7,Good,0
29,No,Travel_Rarely,Research & Development,9,Doctor,Other,455,Medium,Male,Medium,1,Laboratory Technician,Very High,Single,3983,Excellent,High,4,Better,2
30,No,Travel_Rarely,Sales,5,Bachelor,Marketing,456,Very High,Female,Medium,2,Sales Executive,High,Divorced,6118,Excellent,High,10,Better,1
27,No,Travel_Rarely,Sales,8,Master,Marketing,458,Medium,Female,High,2,Sales Executive,Medium,Married,6214,Excellent,Low,8,Better,0
37,No,Travel_Rarely,Research & Development,5,College,Medical,460,Very High,Male,High,2,Manufacturing Director,Very High,Divorced,6347,Excellent,High,8,Good,0
38,No,Travel_Rarely,Research & Development,15,College,Life Sciences,461,High,Male,Medium,3,Research Director,Very High,Divorced,11510,Excellent,Medium,12,Better,2
31,No,Travel_Rarely,Research & Development,7,Master,Medical,462,High,Female,High,3,Manufacturing Director,Very High,Single,7143,Excellent,High,11,Good,4
29,No,Travel_Rarely,Sales,10,Below College,Marketing,463,Very High,Female,Medium,2,Sales Executive,Medium,Divorced,8268,Excellent,Low,7,Better,1
35,No,Travel_Rarely,Research & Development,5,Master,Technical Degree,464,High,Male,High,3,Manufacturing Director,Medium,Single,8095,Excellent,Very High,17,Better,0
23,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,465,High,Male,High,1,Research Scientist,Very High,Divorced,2904,Excellent,High,4,Good,0
41,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,466,Very High,Male,Medium,2,Manufacturing Director,Medium,Single,6032,Excellent,Very High,8,Better,1
47,No,Travel_Frequently,Sales,4,Below College,Medical,467,Medium,Male,High,2,Sales Representative,High,Single,2976,Excellent,Low,5,Better,0
42,No,Travel_Rarely,Research & Development,23,Doctor,Life Sciences,468,Low,Female,High,4,Research Director,Very High,Single,15992,Excellent,Medium,16,Better,0
29,No,Non-Travel,Sales,2,Bachelor,Life Sciences,469,Very High,Male,High,2,Sales Executive,High,Married,4649,Excellent,Low,4,Good,0
42,No,Travel_Rarely,Human Resources,2,Below College,Technical Degree,470,High,Male,High,1,Human Resources,High,Divorced,2696,Excellent,High,4,Better,1
32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,471,High,Female,High,1,Laboratory Technician,Medium,Married,2370,Excellent,High,8,Better,0
48,No,Travel_Rarely,Sales,29,Below College,Medical,473,Low,Female,High,3,Manager,High,Married,12504,Outstanding,Medium,15,Bad,0
37,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,474,High,Male,Very High,2,Research Scientist,Low,Divorced,5974,Excellent,Low,13,Better,6
30,No,Non-Travel,Sales,25,College,Technical Degree,475,Very High,Female,High,2,Sales Executive,High,Married,4736,Excellent,Medium,4,Best,2
26,No,Travel_Rarely,Sales,1,Bachelor,Life Sciences,476,High,Male,High,2,Sales Executive,High,Married,5296,Excellent,Medium,8,Better,7
42,No,Travel_Rarely,Research & Development,2,Master,Other,477,Low,Male,Medium,2,Healthcare Representative,Very High,Single,6781,Outstanding,Medium,14,Better,0
21,Yes,Travel_Frequently,Sales,1,Below College,Technical Degree,478,Low,Female,Medium,1,Sales Representative,Medium,Single,2174,Excellent,High,3,Better,1
36,No,Non-Travel,Sales,1,Doctor,Medical,479,Very High,Female,High,2,Sales Executive,Very High,Single,6653,Excellent,Medium,7,Better,0
36,No,Travel_Frequently,Sales,3,Master,Medical,481,Low,Male,Medium,3,Sales Executive,Very High,Married,9699,Excellent,Low,16,Better,1
57,No,Travel_Rarely,Research & Development,1,Master,Medical,482,Very High,Male,High,2,Healthcare Representative,High,Married,6755,Excellent,High,15,Better,1
40,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,483,Very High,Female,Very High,1,Laboratory Technician,High,Married,2213,Excellent,High,10,Better,1
21,No,Non-Travel,Sales,9,College,Medical,484,Low,Male,High,1,Sales Representative,Very High,Single,2610,Outstanding,High,3,Good,2
33,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,485,Very High,Female,High,1,Sales Representative,High,Single,2851,Excellent,Medium,1,Better,0
37,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,486,High,Female,High,1,Laboratory Technician,Low,Married,3452,Outstanding,Medium,17,Better,0
46,No,Non-Travel,Research & Development,7,Master,Medical,487,High,Female,High,2,Manufacturing Director,High,Married,5258,Excellent,High,7,Best,0
41,Yes,Travel_Frequently,Sales,4,Bachelor,Marketing,488,Low,Male,High,2,Sales Executive,Medium,Single,9355,Excellent,High,8,Better,7
50,No,Travel_Rarely,Research & Development,10,Bachelor,Technical Degree,491,Very High,Male,Medium,3,Healthcare Representative,Very High,Single,10496,Excellent,Very High,20,Better,1
40,Yes,Travel_Rarely,Sales,22,College,Marketing,492,High,Male,Medium,2,Sales Executive,High,Married,6380,Excellent,Low,8,Better,1
31,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,493,High,Male,Medium,1,Research Scientist,Medium,Single,2657,Excellent,Very High,3,Better,2
21,Yes,Travel_Rarely,Sales,12,Bachelor,Life Sciences,494,High,Female,Very High,1,Sales Representative,Medium,Single,2716,Excellent,Very High,1,Better,0
29,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,495,Very High,Male,High,1,Research Scientist,Very High,Single,2201,Excellent,Very High,6,Better,1
35,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,496,High,Male,Medium,2,Healthcare Representative,Medium,Single,6540,Excellent,High,10,Better,0
27,No,Travel_Rarely,Research & Development,1,College,Medical,497,Very High,Male,High,1,Laboratory Technician,Medium,Divorced,3816,Excellent,Medium,5,Better,0
28,No,Travel_Rarely,Sales,9,Master,Life Sciences,498,Medium,Male,High,2,Sales Executive,Very High,Single,5253,Excellent,Very High,7,Better,0
49,No,Travel_Rarely,Research & Development,7,Bachelor,Other,499,Medium,Male,Medium,3,Healthcare Representative,High,Single,10965,Outstanding,High,26,Better,0
51,No,Travel_Rarely,Sales,14,College,Life Sciences,500,High,Female,High,2,Sales Executive,Very High,Married,4936,Excellent,High,18,Good,0
36,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,501,Very High,Female,High,1,Research Scientist,High,Married,2543,Excellent,Medium,6,Better,2
34,Yes,Non-Travel,Sales,19,Bachelor,Marketing,502,Low,Male,Very High,2,Sales Executive,Very High,Single,5304,Excellent,Medium,9,Good,0
55,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,505,High,Female,High,4,Manager,Very High,Single,16659,Excellent,High,30,Better,1
24,No,Travel_Rarely,Sales,10,Master,Marketing,507,Very High,Female,High,2,Sales Executive,High,Divorced,4260,Excellent,Very High,5,Best,0
30,No,Travel_Rarely,Sales,2,Below College,Technical Degree,508,High,Male,High,1,Sales Representative,Medium,Married,2476,Excellent,Low,1,Better,0
26,Yes,Travel_Frequently,Research & Development,3,Below College,Technical Degree,510,High,Male,High,1,Research Scientist,Low,Single,3102,Outstanding,High,7,Better,0
22,No,Travel_Rarely,Research & Development,11,Bachelor,Medical,511,Low,Female,High,1,Research Scientist,Medium,Married,2244,Excellent,Very High,2,Better,1
36,No,Travel_Rarely,Sales,2,College,Medical,513,Medium,Male,Medium,3,Sales Executive,High,Married,7596,Excellent,Medium,10,Better,9
30,Yes,Travel_Frequently,Research & Development,4,Bachelor,Technical Degree,514,High,Male,High,1,Research Scientist,Very High,Single,2285,Outstanding,High,3,Better,0
37,No,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,515,Very High,Female,High,1,Laboratory Technician,Low,Divorced,3034,Excellent,High,18,Good,12
40,No,Travel_Rarely,Sales,2,College,Marketing,516,Very High,Female,High,2,Sales Executive,Medium,Divorced,5715,Excellent,High,8,Better,1
42,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,517,Medium,Female,High,1,Laboratory Technician,Low,Divorced,2576,Excellent,Medium,8,Better,1
37,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,518,High,Male,High,2,Manufacturing Director,Medium,Single,4197,Excellent,Very High,18,Good,0
43,No,Travel_Rarely,Research & Development,12,Bachelor,Life Sciences,520,Low,Male,Medium,4,Research Director,Medium,Divorced,14336,Excellent,High,25,Better,3
40,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,521,Medium,Female,Medium,2,Laboratory Technician,High,Married,3448,Outstanding,Medium,20,Better,0
54,No,Travel_Rarely,Research & Development,5,College,Medical,522,Low,Male,High,5,Research Director,Low,Married,19406,Excellent,High,24,Good,1
34,No,Non-Travel,Sales,4,Master,Marketing,523,High,Female,High,2,Sales Executive,High,Married,6538,Excellent,Low,6,Better,1
31,No,Travel_Rarely,Research & Development,7,College,Medical,524,Medium,Female,High,2,Manufacturing Director,Low,Married,4306,Excellent,Medium,13,Bad,3
43,No,Travel_Frequently,Research & Development,21,Bachelor,Medical,525,Very High,Male,High,1,Laboratory Technician,Very High,Married,2258,Outstanding,Low,8,Better,1
43,No,Travel_Rarely,Research & Development,8,Master,Other,526,High,Female,High,2,Healthcare Representative,High,Divorced,4522,Excellent,Very High,8,Better,0
25,No,Travel_Rarely,Sales,4,College,Life Sciences,527,Medium,Female,Medium,2,Sales Executive,Very High,Single,4487,Excellent,Medium,5,Better,1
37,No,Non-Travel,Research & Development,25,Doctor,Medical,529,Medium,Female,High,2,Research Scientist,High,Married,4449,Excellent,Low,15,Better,10
31,No,Travel_Rarely,Research & Development,1,College,Life Sciences,530,Very High,Male,Medium,1,Laboratory Technician,Low,Married,2218,Excellent,High,4,Better,3
39,No,Travel_Frequently,Research & Development,1,Below College,Life Sciences,531,Medium,Male,High,5,Manager,High,Divorced,19197,Excellent,High,21,Better,1
56,No,Travel_Frequently,Sales,6,Bachelor,Life Sciences,532,High,Female,Very High,4,Sales Executive,Low,Married,13212,Excellent,Very High,36,Good,7
30,No,Travel_Rarely,Sales,12,Bachelor,Technical Degree,533,Medium,Female,High,2,Sales Executive,High,Single,6577,Excellent,Medium,6,Better,4
41,No,Travel_Rarely,Sales,1,Bachelor,Marketing,534,Medium,Male,Very High,3,Sales Executive,Low,Married,8392,Excellent,High,10,Better,0
28,No,Travel_Rarely,Research & Development,17,College,Medical,536,High,Male,High,2,Laboratory Technician,Low,Divorced,4558,Excellent,Very High,10,Better,1
25,Yes,Travel_Rarely,Research & Development,3,Bachelor,Medical,538,Low,Male,High,1,Laboratory Technician,Low,Married,4031,Excellent,High,6,Better,0
52,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,543,Very High,Male,Medium,3,Manufacturing Director,High,Married,7969,Excellent,High,28,Better,0
45,No,Travel_Rarely,Research & Development,10,College,Life Sciences,544,Low,Male,High,1,Research Scientist,Very High,Married,2654,Outstanding,Very High,8,Good,0
52,No,Travel_Rarely,Research & Development,4,College,Life Sciences,546,Very High,Female,High,4,Manager,Very High,Married,16555,Excellent,Very High,31,Bad,1
42,No,Travel_Frequently,Research & Development,29,College,Life Sciences,547,Low,Female,High,2,Research Scientist,High,Divorced,4556,Excellent,Medium,19,Better,0
30,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,548,High,Female,Low,2,Manufacturing Director,Very High,Single,6091,Outstanding,High,11,Better,0
60,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,549,Low,Female,High,5,Manager,Low,Married,19566,Excellent,Very High,33,Bad,11
46,No,Travel_Rarely,Research & Development,18,Bachelor,Medical,550,High,Female,High,2,Manufacturing Director,High,Divorced,4810,Excellent,High,19,Good,0
42,No,Travel_Frequently,Research & Development,28,Master,Technical Degree,551,Very High,Female,Medium,2,Healthcare Representative,Very High,Married,4523,Excellent,Very High,7,Best,0
24,Yes,Travel_Rarely,Sales,1,Below College,Technical Degree,554,Low,Female,High,1,Sales Representative,Medium,Single,3202,Excellent,Medium,6,Better,1
34,Yes,Travel_Frequently,Sales,6,College,Marketing,555,Very High,Female,Low,1,Sales Representative,High,Divorced,2351,Excellent,Very High,3,Good,1
38,No,Travel_Frequently,Research & Development,2,College,Life Sciences,556,Very High,Male,High,1,Laboratory Technician,Very High,Married,1702,Outstanding,High,1,Better,0
40,No,Travel_Rarely,Sales,2,Master,Life Sciences,558,High,Female,High,5,Manager,High,Married,18041,Excellent,Very High,21,Better,1
26,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,560,Low,Female,High,1,Research Scientist,Very High,Divorced,2886,Outstanding,Medium,3,Bad,0
30,No,Non-Travel,Research & Development,3,Bachelor,Life Sciences,562,High,Male,High,1,Laboratory Technician,Very High,Married,2097,Excellent,High,9,Bad,1
29,No,Travel_Rarely,Research & Development,3,Master,Medical,564,Medium,Male,Medium,3,Research Director,High,Married,11935,Excellent,High,10,Better,0
29,Yes,Travel_Rarely,Research & Development,25,Doctor,Technical Degree,565,High,Female,Medium,1,Research Scientist,Medium,Married,2546,Excellent,Medium,6,Best,1
19,Yes,Travel_Rarely,Human Resources,2,College,Technical Degree,566,Low,Male,Medium,1,Human Resources,Very High,Single,2564,Excellent,High,1,Best,0
30,No,Non-Travel,Sales,22,Master,Other,567,High,Female,High,3,Sales Executive,Low,Married,8412,Excellent,High,10,Better,7
57,No,Travel_Rarely,Sales,29,Bachelor,Marketing,568,Low,Male,Medium,4,Manager,Very High,Divorced,14118,Excellent,High,32,Good,0
50,No,Travel_Rarely,Research & Development,29,Master,Life Sciences,569,Medium,Male,Medium,4,Manager,High,Married,17046,Excellent,Medium,28,Better,15
30,No,Non-Travel,Research & Development,2,Bachelor,Medical,571,High,Female,High,1,Laboratory Technician,Very High,Single,2564,Excellent,High,12,Good,6
60,No,Travel_Frequently,Sales,28,Bachelor,Marketing,573,High,Female,Medium,3,Sales Executive,Low,Married,10266,Excellent,Very High,22,Best,13
47,No,Travel_Rarely,Research & Development,2,College,Medical,574,Low,Female,High,2,Manufacturing Director,Very High,Divorced,5070,Excellent,High,20,Better,0
46,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,575,Low,Male,High,4,Research Director,High,Married,17861,Excellent,High,26,Bad,0
35,No,Travel_Rarely,Research & Development,22,Bachelor,Life Sciences,577,Very High,Male,Low,1,Laboratory Technician,High,Single,4230,Excellent,High,6,Better,4
54,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,578,High,Female,High,2,Laboratory Technician,High,Single,3780,Excellent,High,19,Better,0
34,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,579,Very High,Male,Medium,1,Research Scientist,High,Divorced,2768,Excellent,High,14,Better,5
46,No,Travel_Rarely,Sales,10,Bachelor,Marketing,580,High,Female,Medium,3,Sales Executive,Very High,Married,9071,Excellent,High,15,Better,1
31,No,Travel_Rarely,Research & Development,9,Below College,Life Sciences,581,High,Male,High,3,Manufacturing Director,Medium,Divorced,10648,Outstanding,Very High,13,Best,0
33,Yes,Travel_Rarely,Research & Development,15,Below College,Medical,582,Medium,Male,High,3,Manager,High,Married,13610,Excellent,Very High,15,Best,7
33,Yes,Travel_Rarely,Research & Development,10,Below College,Medical,584,Low,Male,Low,1,Laboratory Technician,Very High,Divorced,3408,Excellent,Low,8,Better,1
30,No,Travel_Rarely,Sales,7,Below College,Marketing,585,Very High,Male,High,1,Sales Representative,Medium,Single,2983,Excellent,Low,4,Better,1
35,No,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,586,Very High,Male,High,3,Healthcare Representative,High,Married,7632,Excellent,High,10,Better,0
31,Yes,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,587,Low,Male,High,3,Healthcare Representative,High,Married,9824,Excellent,Low,12,Better,0
34,Yes,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,590,Medium,Female,High,3,Human Resources,Low,Divorced,9950,Excellent,High,11,Better,0
42,No,Travel_Frequently,Research & Development,5,College,Other,591,Medium,Male,High,1,Laboratory Technician,High,Married,2093,Excellent,Very High,8,Better,2
36,No,Non-Travel,Sales,10,Master,Medical,592,Medium,Male,High,3,Sales Executive,Very High,Single,9980,Excellent,Very High,10,Good,9
22,Yes,Travel_Frequently,Research & Development,4,Below College,Technical Degree,593,High,Male,Medium,1,Laboratory Technician,High,Single,3894,Excellent,High,4,Better,1
48,No,Travel_Rarely,Sales,2,Doctor,Marketing,595,Medium,Female,High,2,Sales Executive,Very High,Married,4051,Excellent,Low,14,Better,6
55,No,Travel_Rarely,Sales,18,Doctor,Life Sciences,597,Low,Female,High,4,Manager,Medium,Single,16835,Outstanding,Very High,37,Better,7
41,No,Non-Travel,Sales,10,College,Life Sciences,599,Very High,Male,High,2,Sales Executive,Very High,Single,6230,Excellent,Very High,16,Better,1
35,No,Travel_Rarely,Sales,1,Bachelor,Marketing,600,Medium,Male,High,2,Sales Executive,High,Married,4717,Excellent,High,15,Better,6
40,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,601,Medium,Female,High,4,Manufacturing Director,High,Single,13237,Excellent,High,22,Better,5
39,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,602,High,Female,High,1,Laboratory Technician,High,Married,3755,Excellent,Low,8,Better,0
31,No,Travel_Rarely,Sales,2,Below College,Life Sciences,604,Medium,Male,High,2,Sales Executive,Very High,Single,6582,Excellent,High,10,Best,0
42,No,Travel_Rarely,Research & Development,24,Bachelor,Medical,605,Very High,Male,High,3,Manufacturing Director,Low,Married,7406,Outstanding,Very High,10,Good,5
45,No,Travel_Rarely,Sales,2,Bachelor,Other,606,Very High,Male,High,2,Sales Executive,Medium,Married,4805,Excellent,Medium,9,Best,3
26,Yes,Travel_Frequently,Human Resources,17,Master,Life Sciences,608,Medium,Female,High,1,Human Resources,High,Divorced,2741,Excellent,Medium,8,Good,1
29,No,Travel_Rarely,Research & Development,19,Bachelor,Technical Degree,611,Very High,Male,High,2,Manufacturing Director,Very High,Divorced,4262,Excellent,Medium,8,Best,1
33,No,Travel_Rarely,Research & Development,1,Doctor,Medical,612,Low,Female,Very High,4,Research Director,High,Divorced,16184,Excellent,High,10,Better,0
31,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,613,High,Male,Medium,3,Manager,Very High,Divorced,11557,Outstanding,High,10,Good,0
18,Yes,Travel_Frequently,Sales,5,Bachelor,Marketing,614,Medium,Male,High,1,Sales Representative,Medium,Single,1878,Excellent,Very High,0,Better,0
40,No,Non-Travel,Sales,28,Bachelor,Other,615,High,Male,Low,3,Sales Executive,Low,Divorced,10932,Excellent,High,20,Better,0
41,No,Non-Travel,Research & Development,2,Master,Other,616,Low,Female,Medium,2,Healthcare Representative,High,Single,6811,Excellent,Low,10,Better,0
26,No,Travel_Rarely,Sales,29,College,Medical,618,Low,Male,High,2,Sales Executive,High,Divorced,4306,Excellent,Low,8,Better,0
35,No,Travel_Rarely,Sales,1,Bachelor,Medical,620,Low,Female,High,2,Sales Executive,High,Single,4859,Excellent,Very High,5,Better,0
34,No,Travel_Rarely,Sales,21,Master,Life Sciences,621,Very High,Male,Very High,2,Sales Executive,Very High,Single,5337,Excellent,Very High,10,Better,5
26,Yes,Travel_Rarely,Research & Development,24,Bachelor,Technical Degree,622,High,Male,Low,1,Laboratory Technician,Very High,Single,2340,Excellent,Medium,1,Bad,0
37,No,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,623,Medium,Female,High,3,Manufacturing Director,Very High,Single,7491,Excellent,Very High,12,Best,1
46,No,Travel_Frequently,Research & Development,18,Below College,Medical,624,Low,Female,High,3,Healthcare Representative,High,Married,10527,Excellent,Very High,28,Good,1
41,No,Travel_Rarely,Sales,2,Doctor,Life Sciences,625,Medium,Female,High,4,Manager,Low,Married,16595,Excellent,Medium,22,Better,11
37,No,Non-Travel,Sales,9,Master,Medical,626,Low,Male,High,3,Sales Executive,Medium,Divorced,8834,Excellent,Very High,9,Better,7
52,No,Travel_Rarely,Research & Development,6,College,Technical Degree,630,Very High,Male,High,2,Research Scientist,Low,Divorced,5577,Excellent,Medium,18,Better,6
32,Yes,Non-Travel,Sales,11,Master,Other,631,Very High,Male,Very High,2,Sales Executive,High,Married,4707,Excellent,Very High,6,Better,1
24,No,Travel_Frequently,Sales,24,Bachelor,Medical,632,Very High,Male,High,1,Sales Representative,Very High,Married,2400,Excellent,High,3,Better,2
38,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,634,High,Female,High,2,Healthcare Representative,High,Married,9824,Excellent,High,18,Better,0
37,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,635,Medium,Female,High,2,Manufacturing Director,Medium,Married,6447,Excellent,Medium,8,Good,4
49,No,Travel_Rarely,Research & Development,18,Master,Life Sciences,638,Very High,Male,Medium,5,Research Director,High,Divorced,19502,Excellent,High,31,Better,0
24,No,Travel_Rarely,Research & Development,23,Bachelor,Medical,639,Medium,Male,Very High,1,Research Scientist,Very High,Married,2725,Excellent,Medium,6,Better,1
26,No,Travel_Rarely,Sales,28,College,Marketing,641,Low,Male,High,2,Sales Executive,Medium,Married,6272,Outstanding,Very High,6,Best,1
24,No,Travel_Rarely,Research & Development,17,College,Other,643,Very High,Male,Medium,1,Laboratory Technician,Medium,Married,2127,Outstanding,Very High,1,Better,0
50,No,Travel_Frequently,Human Resources,3,Bachelor,Medical,644,Low,Male,High,5,Manager,Medium,Married,18200,Excellent,High,32,Better,10
25,No,Travel_Rarely,Sales,13,Below College,Medical,645,Medium,Male,High,1,Sales Representative,High,Married,2096,Excellent,High,7,Better,0
24,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,647,Low,Female,High,1,Laboratory Technician,High,Married,2886,Excellent,Very High,6,Better,1
30,Yes,Travel_Frequently,Sales,12,Master,Life Sciences,648,Medium,Male,Medium,1,Sales Representative,Low,Married,2033,Excellent,High,1,Best,0
34,No,Travel_Rarely,Research & Development,1,College,Life Sciences,649,Medium,Male,Medium,1,Research Scientist,Very High,Married,3622,Excellent,Very High,6,Better,1
31,Yes,Travel_Rarely,Sales,13,Master,Medical,650,Medium,Male,High,2,Sales Executive,Low,Divorced,4233,Excellent,High,9,Bad,1
35,No,Travel_Rarely,Research & Development,25,College,Other,652,Low,Male,Medium,2,Laboratory Technician,Very High,Single,3681,Excellent,Very High,9,Better,0
31,No,Travel_Rarely,Sales,6,Master,Medical,653,Low,Male,Very High,2,Sales Executive,Very High,Divorced,5460,Outstanding,Very High,13,Best,5
27,No,Travel_Rarely,Research & Development,6,Master,Medical,655,Low,Female,Medium,1,Research Scientist,High,Divorced,2187,Excellent,High,6,Good,0
37,No,Travel_Rarely,Sales,2,Bachelor,Marketing,656,Very High,Male,High,2,Sales Executive,High,Married,9602,Excellent,High,17,Good,1
20,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,657,Very High,Female,Medium,1,Research Scientist,Medium,Single,2836,Excellent,Very High,1,Best,0
42,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,659,High,Female,High,2,Healthcare Representative,Very High,Married,4089,Excellent,Medium,10,Better,2
43,No,Travel_Rarely,Research & Development,6,Master,Other,661,Medium,Male,Medium,4,Research Director,Very High,Divorced,16627,Excellent,High,21,Good,0
38,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,662,High,Female,High,1,Research Scientist,Low,Single,2619,Excellent,Very High,8,Good,0
43,No,Travel_Frequently,Research & Development,9,Doctor,Medical,663,Very High,Male,High,2,Laboratory Technician,High,Divorced,5679,Excellent,Medium,10,Better,4
48,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,664,Very High,Female,Medium,4,Manager,Low,Married,15402,Excellent,Low,21,Bad,0
44,No,Travel_Rarely,Human Resources,1,Master,Life Sciences,665,Low,Female,Medium,2,Human Resources,High,Single,5985,Excellent,Medium,10,Best,0
34,No,Travel_Rarely,Sales,14,Bachelor,Technical Degree,666,High,Female,High,1,Sales Representative,High,Divorced,2579,Excellent,Very High,8,Better,0
27,Yes,Travel_Rarely,Sales,2,Below College,Marketing,667,High,Male,High,1,Sales Representative,Low,Divorced,3041,Excellent,Medium,5,Better,0
21,No,Travel_Rarely,Sales,22,Below College,Technical Degree,669,High,Male,High,1,Sales Representative,High,Single,3447,Excellent,High,3,Better,1
44,No,Travel_Rarely,Research & Development,3,Master,Other,671,Very High,Male,High,5,Manager,Very High,Married,19513,Excellent,Low,26,Best,0
22,No,Travel_Rarely,Research & Development,6,Below College,Medical,675,Low,Male,High,1,Research Scientist,High,Married,2773,Outstanding,Very High,3,Better,2
33,No,Travel_Rarely,Sales,8,Master,Marketing,677,High,Male,High,2,Sales Executive,High,Divorced,7104,Excellent,Very High,6,Better,1
32,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,679,Low,Female,High,2,Research Scientist,Very High,Married,6322,Excellent,Very High,6,Good,0
